Date,trend_direction,support_price,resistance_price,trend_slope
2022-05-10,-1,260.3833312988281,281.8766784667969,-0.009215412460177364
2022-05-11,-1,258.0833435058594,275.1199951171875,-0.009990623001451397
2022-05-12,-1,242.3999938964844,269.92333984375,-0.010757461921096301
2022-05-13,-1,226.6666717529297,253.22000122070312,-0.011711658395116177
2022-05-16,-1,250.52333068847656,262.45001220703125,-0.012194189677254857
2022-05-17,-1,239.69667053222656,256.586669921875,-0.012789369874289998
2022-05-18,-1,242.9499969482422,254.82666015625,-0.012980308836926758
2022-05-19,-1,233.60333251953125,253.5,-0.013061642925037881
2022-05-20,-1,231.3699951171875,244.6666717529297,-0.013570320599847698
2022-05-23,-1,211.0,240.52667236328125,-0.014256797194345005
2022-05-24,-1,212.6866607666016,226.65333557128903,-0.015016698584271803
2022-05-25,-1,206.85667419433597,217.97332763671875,-0.01611078057192901
2022-05-26,-1,207.6699981689453,223.10667419433597,-0.016913083352564723
2022-05-27,-1,217.8866729736328,239.55667114257807,-0.017196677709463353
2022-05-31,-1,240.1766662597656,253.26666259765625,-0.01685819945155246
2022-06-01,-1,244.7433319091797,259.6000061035156,-0.016248917776914295
2022-06-02,-1,243.63999938964844,257.32666015625,-0.015367506661851346
2022-06-03,-1,242.0666656494141,264.2099914550781,-0.01433310044650321
2022-06-06,-1,233.4166717529297,247.79666137695312,-0.013121087188140543
2022-06-07,-1,234.3500061035156,244.86666870117188,-0.011982813259405293
2022-06-08,-1,230.0933380126953,239.9966735839844,-0.01096122867066446
2022-06-09,-1,239.1766662597656,249.9633331298828,-0.009942249835881992
2022-06-10,-1,239.32666015625,255.54666137695312,-0.009083320457596357
2022-06-13,-1,227.913330078125,239.5,-0.008817256998513219
2022-06-14,-1,214.68333435058597,226.63333129882807,-0.008439728026190663
2022-06-15,-1,211.73666381835935,226.3300018310547,-0.008184119916201694
2022-06-16,-1,218.1499938964844,235.663330078125,-0.007297800418820253
2022-06-17,-1,208.69332885742188,225.1666717529297,-0.006393435547499631
2022-06-21,-1,213.19667053222656,220.97000122070312,-0.005464907446162982
2022-06-22,-1,224.3333282470703,243.57666015625,-0.0042326654275460975
2022-06-23,-1,233.82666015625,246.8333282470703,-0.003204640090945977
2022-06-24,-1,228.6366729736328,239.3166656494141,-0.0024257784730908
2022-06-27,-1,236.086669921875,246.0666656494141,-0.0016858282977316105
2022-06-28,-1,242.5666656494141,252.07000732421875,-0.0012250975756229268
2022-06-29,-1,232.3433380126953,249.97000122070312,-0.00045878853926964165
2022-06-30,-1,222.27333068847656,231.17333984375,-0.0003206931424036464
2022-07-01,-1,218.8633270263672,229.4566650390625,-0.0001902665312319697
2022-07-05,-1,222.1199951171875,230.22999572753903,-0.00011536694538727135
2022-07-06,-1,216.1666717529297,233.14666748046875,-0.000218362208246215
2022-07-07,-1,227.1866607666016,234.56333923339844,-0.0004902106619903253
2022-07-08,-1,232.2100067138672,245.3633270263672,-0.0007306788574447512
2022-07-11,-1,241.16000366210935,254.97999572753903,-0.0009617513412813393
2022-07-12,-1,233.6266632080078,253.06333923339844,-0.001304803740162821
2022-07-13,-1,228.3699951171875,239.77333068847656,-0.0015631429825651614
