Date,trend_direction,support_price,resistance_price,trend_slope
2022-01-03,0,,,
2022-01-04,0,,,
2022-01-05,0,,,
2022-01-06,0,,,
2022-01-07,0,,,
2022-01-10,0,,,
2022-01-11,0,,,
2022-01-12,0,,,
2022-01-13,0,,,
2022-01-14,0,,,
2022-01-18,0,,,
2022-01-19,0,,,
2022-01-20,0,,,
2022-01-21,0,,,
2022-01-24,0,,,
2022-01-25,0,,,
2022-01-26,0,,,
2022-01-27,0,,,
2022-01-28,0,,,
2022-01-31,0,,,
2022-02-01,0,,,
2022-02-02,0,,,
2022-02-03,0,,,
2022-02-04,0,,,
2022-02-07,0,,,
2022-02-08,0,,,
2022-02-09,0,,,
2022-02-10,0,,,
2022-02-11,0,,,
2022-02-14,0,,,
2022-02-15,-1,163.19291135712115,166.15186486791518,-0.0008544529704091557
2022-02-16,-1,166.80832036305304,169.45373566949445,-0.00044664868634874467
2022-02-17,0,166.612352178537,169.83583650795123,1.8474862173161694e-05
2022-02-18,1,165.06430342539218,168.43476465088062,0.0003025682452137563
2022-02-22,1,162.83037691642315,167.0924302194162,0.00037402637842381313
2022-02-23,1,158.872038841447,163.32026851174712,0.00027052983522301996
2022-02-24,0,156.52058346872764,162.7911986729469,3.8382629526585855e-05
2022-02-25,-1,148.92727191069304,159.5579417081335,-0.00027957684934771095
2022-02-28,-1,157.6179631395797,161.78204820003634,-0.00021746355007320263
2022-03-01,-1,159.1464202451589,162.0759818545117,-0.0001589488873349127
2022-03-02,-1,158.69570233786408,163.23210951924372,-0.00013279942452967515
2022-03-03,-1,159.6558640904533,163.97671685818776,-0.00011203466815491675
2022-03-04,0,162.2033064128783,165.4953825137644,-9.774996598338837e-05
2022-03-07,-1,158.82309815688976,162.20335221808782,-0.0002794385024639278
2022-03-08,-1,155.82492784594277,161.6840502038395,-0.0006327845834074563
2022-03-09,-1,152.65043241487157,159.58730866544224,-0.0013276683277621327
2022-03-10,-1,156.18748303740642,160.10662184800367,-0.0018857199016161532
2022-03-11,-1,152.82681394352832,157.1476680762386,-0.0025252024263605526
2022-03-14,-1,151.37673500562354,156.060104640192,-0.0032115171717484008
2022-03-15,-1,147.06567231572745,151.00439558659642,-0.003851742192418758
2022-03-16,-1,147.34001116939965,152.4250955746164,-0.00418990175585369
2022-03-17,-1,151.33751588171134,156.76551526978483,-0.004254023628324729
2022-03-18,-1,154.44340972475143,157.74527815418617,-0.004146575683939665
2022-03-21,-1,156.53037749922927,161.15496186500974,-0.0039010967053915444
2022-03-22,-1,159.71467413165345,162.9871658912754,-0.003583453411399834
2022-03-23,-1,161.5762655771906,165.9950882926474,-0.0031410736647636463
2022-03-24,-1,164.26084346132168,169.14997284411103,-0.0025230734513948558
2022-03-25,-1,166.76913277034842,170.61967882805246,-0.0017129284051558581
2022-03-28,-1,169.25778100424003,171.73663471959298,-0.0009131819180735817
2022-03-29,-1,168.52294058057433,172.1775327221898,-0.00024694369319098786
2022-03-30,1,172.77520887835874,175.39123190730578,0.00045429772673835845
2022-03-31,1,173.12793859273037,175.97911541230812,0.0012960842087695443
2022-04-01,1,170.87443883843048,174.43106194071976,0.002045709395364965
2022-04-04,1,168.46415506398156,171.34472398421482,0.0026071938143219777
2022-04-05,1,170.91362533338986,174.88175589117134,0.0031996885013507313
2022-04-06,1,170.8940109049415,174.6955795536943,0.0035944297102285644
2022-04-07,1,166.69072328453476,170.1199686542609,0.00371794506585534
2022-04-08,1,166.41638033883945,169.85541807711806,0.0035683722028119432
2022-04-11,1,165.7795122847829,168.30735775145232,0.003577749774380827
2022-04-12,1,162.1543610861938,165.61299973690032,0.003483325150196946
2022-04-13,1,163.2713064320056,166.43600652884118,0.0034326910366795343
2022-04-14,1,163.39866884231074,167.58233798502656,0.0034337886533008896
2022-04-18,1,161.70360127770223,167.8076684945636,0.003485168886005132
2022-04-19,1,160.2633554980497,163.23210129361956,0.0032704312210897948
2022-04-20,1,160.59647667199232,164.4274375522312,0.003005870361831307
2022-04-21,1,162.74220370933205,165.46600329408383,0.002679805289023787
2022-04-22,1,162.55605562621574,168.06243992326603,0.002468979231677178
2022-04-25,1,158.23518671810965,164.47640880332085,0.0019487311084556101
2022-04-26,1,155.2566649146805,159.87144172970685,0.0012086154063154471
2022-04-27,1,153.55181869779824,159.05820246882445,0.0002109083345777836
2022-04-28,-1,152.23893068313222,156.55976925790796,-0.0008437700745107424
2022-04-29,-1,155.717147988404,161.19415486672693,-0.0015725064567513277
2022-05-02,-1,154.07112011517893,162.84018882642286,-0.0022278880741755415
2022-05-03,-1,150.17157761678854,155.03130046543404,-0.003008724915618061
2022-05-04,-1,153.15991957685017,157.46117291588328,-0.0035611413406670435
2022-05-05,-1,156.04049519291306,163.11454143572888,-0.0038251926229647265
2022-05-06,-1,151.81764516116996,160.76308477987206,-0.004090710659054367
2022-05-09,-1,151.2850890529144,156.44633619011688,-0.004343574704519063
2022-05-10,-1,148.64568122313855,152.90419128161756,-0.004608585891419663
2022-05-11,-1,150.05858149525076,153.7970575708187,-0.0047789489449255335
2022-05-12,-1,143.07231197215032,152.5313135713574,-0.004916331635886878
2022-05-13,-1,136.1938888181264,143.45494014257622,-0.0052940321209715095
2022-05-16,-1,140.422988536555,145.3193024291932,-0.005529897593492409
2022-05-17,-1,141.47290744658727,144.7502078730768,-0.005791136139391654
2022-05-18,-1,143.92598033573168,146.95797495332027,-0.005749080623100167
2022-05-19,-1,137.27325546059197,144.5931943601473,-0.005828682441930785
2022-05-20,-1,134.03520018713232,139.0001910759216,-0.0061992489961441586
2022-05-23,-1,130.12011571020568,138.05821430560903,-0.006602335341592844
2022-05-24,-1,135.06546908443286,140.57013597581613,-0.006793442652289226
2022-05-25,-1,134.75150167714628,139.3043807072169,-0.007074554857605013
2022-05-26,-1,135.742545873108,139.12776621000188,-0.007216708604862884
2022-05-27,-1,134.56504208814962,141.6298510183434,-0.0072219583617528955
2022-05-31,-1,142.5326018592053,146.869610416665,-0.0068744264744333055
2022-06-01,-1,144.08293159739236,147.8312145429356,-0.006544742750879377
2022-06-02,-1,144.9071417470177,148.89092345071006,-0.006086482486070973
2022-06-03,-1,144.1025944132952,148.42979696294097,-0.005533800076422693
2022-06-06,-1,141.74765092180013,145.19174238635256,-0.00499122587563251
2022-06-07,-1,142.17937951644433,145.7804854788439,-0.00453715804734071
2022-06-08,-1,141.3943732786537,146.20236451194296,-0.004213553212388846
2022-06-09,-1,144.69128805686674,147.0560263615052,-0.003808068334113998
2022-06-10,-1,139.8538872463902,145.17212073609275,-0.0036141265195908548
2022-06-13,-1,134.48654395741318,138.11706935567418,-0.0034738344071753397
2022-06-14,-1,128.9720829038409,132.6614796951245,-0.0035150983819611003
2022-06-15,-1,129.0113227305463,131.37607607962988,-0.0037808751879972852
2022-06-16,-1,129.67858439406757,134.7613181921413,-0.00375436643409272
2022-06-17,-1,126.61714350302216,129.9042500251396,-0.003631311210561096
2022-06-21,-1,127.37270152778396,130.58130861525223,-0.003531999413801313
2022-06-22,-1,130.8167993077871,134.48656772231706,-0.0032894554337650067
2022-06-23,-1,131.39567494170697,135.17337736667807,-0.0030988663122780437
2022-06-24,-1,133.08341268546732,135.98782727058793,-0.002732451082805612
2022-06-27,-1,137.14571567446453,139.24553494086544,-0.0023354165902604892
2022-06-28,-1,138.3231817633475,140.79587103060723,-0.0022403426582230435
2022-06-29,-1,134.74169394010806,140.72715167094702,-0.002080910726183629
2022-06-30,-1,134.1038981265762,138.02879459026985,-0.0019718807297886658
2022-07-01,-1,131.25833120197146,135.77195236171494,-0.0018446498665164077
2022-07-05,-1,133.11284998534265,136.42937688810812,-0.0018433974925270017
2022-07-06,-1,134.3589823539813,138.95111802279916,-0.0019547684047326076
2022-07-07,-1,138.4311081218874,141.41402301996357,-0.00203065858624843
2022-07-08,-1,140.5897624458258,143.79836886527636,-0.0018302022099474854
2022-07-11,-1,142.27748437099987,144.77960864232728,-0.00162058080109845
2022-07-12,-1,141.08037188051733,143.886672848055,-0.0014624677045513045
2022-07-13,-1,142.32651847225287,145.6626734804045,-0.0012157779708412725
2022-07-14,-1,139.4515504526769,143.700252180436,-0.000772801886687584
2022-07-15,-1,140.56035155748177,146.1533259024835,-0.000171494637065105
2022-07-18,1,145.41739039952375,148.0274497717396,0.0006453755040121159
2022-07-19,1,143.94559163866427,148.72416382298212,0.001412606962770426
2022-07-20,1,144.1516228338136,148.39050276940443,0.002034210410292312
2022-07-21,1,147.54668278325192,150.83378994510406,0.002807369079984367
2022-07-22,1,149.0871738807754,152.64902171844827,0.0036293886696922503
2022-07-25,1,150.5295978961148,153.34570636779952,0.004581907271675908
2022-07-26,1,149.42079823109208,152.12897123891142,0.005284247477047464
2022-07-27,1,147.96858832963514,150.21558479499407,0.0055622501227915976
2022-07-28,1,149.30304304810883,154.37596918243503,0.00564297312251777
2022-07-29,1,151.5107685187907,154.6801171580327,0.005680180845043967
2022-08-01,1,156.50524578988953,160.55770616166393,0.00598783768177211
2022-08-02,1,157.86916955763294,160.51847204780725,0.006039458243837726
2022-08-03,1,156.63279081571793,159.36059231885778,0.005976990170277779
2022-08-04,1,157.73175246172306,163.4620968271696,0.006122369663115217
2022-08-05,1,161.34265293350123,164.05084071884252,0.006299506392978625
2022-08-08,1,160.16167874542583,162.96205765324038,0.006397358087196113
2022-08-09,1,161.3407986917232,164.88793871959618,0.006657362259488617
2022-08-10,1,160.4073599879795,162.93261628217675,0.006842881309279354
2022-08-11,1,163.99376480339055,166.3912794896035,0.007017225004949392
2022-08-12,1,165.26132743753485,168.01257432763373,0.0070894151630654266
2022-08-15,1,166.45022886043446,169.17199900038648,0.006996664279387302
2022-08-16,1,168.36629877849532,170.37076978453467,0.006928087820090932
