Date,Close,High,Low,Open,Volume,target
2022-01-03,178.10365295410156,178.95499096160628,173.895952516217,174.01337226981713,104487900,0
2022-01-04,175.84324645996094,179.01371442958575,175.27569272230144,178.71037008888723,99310400,0
2022-01-05,171.16583251953125,176.3031560396219,170.89184312629723,175.7551772531539,94537600,0
2022-01-06,168.30848693847656,171.53766438344002,167.95621276391145,168.99346035254746,96904000,1
2022-01-07,168.47486877441406,170.40258963561612,167.35933616352636,169.1794172582698,86709100,1
2022-01-10,168.494384765625,168.79772902007366,164.56065959552413,165.45113235821407,106765600,1
2022-01-11,171.32240295410156,171.4202477771128,167.15383722500894,168.62164395189677,76138300,1
2022-01-12,171.76275634765625,173.3773379097134,171.06800280036754,172.3400901249927,74805200,0
2022-01-13,168.494384765625,172.82929898734926,168.10296078303142,172.00733102085005,84505800,1
2022-01-14,169.35556030273438,170.05031384521072,167.41804452412237,167.66267899736397,80440800,0
2022-01-18,166.15570068359375,168.836884364845,165.7740715864879,167.82899175117316,90956700,0
2022-01-19,162.662353515625,167.40826837840387,162.37858408989868,166.3514456378891,94815000,0
2022-01-20,160.97921752929688,166.03825520272,160.65629832487,163.39620663076252,91420500,0
2022-01-21,158.92434692382812,162.76021377251277,158.81670715554318,160.89120276470334,122848900,0
2022-01-24,158.15126037597656,158.8166737850042,151.37978119467465,156.58560899416543,162294600,0
2022-01-25,156.3507537841797,159.26679197315192,153.64999508546384,155.5679206315474,115798400,0
2022-01-26,156.2626953125,160.86181974023197,154.43283450239605,159.99092174206848,108275300,0
2022-01-27,155.8027801513672,160.3236197319786,154.88295228679408,158.9634528706825,121954600,1
2022-01-28,166.67433166503906,166.69390660020625,159.30594382680772,162.15349217595866,179935700,1
2022-01-31,171.02883911132812,171.24411862639118,165.87194061535732,166.5079991576081,115541600,0
2022-02-01,170.8625030517578,171.08756258764447,168.61186289898112,170.27537434014533,86213900,1
2022-02-02,172.06613159179688,172.10528147634358,169.61000639785624,170.9995286731431,84914300,0
2022-02-03,169.189208984375,172.45753715088262,168.42595056253245,170.73530076821885,89418100,0
2022-02-04,168.90504455566406,170.5804825811808,167.22960653014735,168.20939100229583,82465400,0
2022-02-07,168.1898193359375,170.43351937589156,167.49416572772904,169.36555780513737,77251200,1
2022-02-08,171.29571533203125,171.80520742660315,167.96443926792173,168.25837758980256,74829200,1
2022-02-09,172.7164306640625,173.07894618735656,171.36432311182244,172.49108438879807,71285000,0
2022-02-10,168.64053344726562,171.93261055270034,168.08206395678414,170.61970267650963,90865900,0
2022-02-11,165.23085021972656,169.58109560057568,164.64297356543503,168.84625725787345,98670700,1
2022-02-14,165.4660186767578,166.15186486791518,163.19291135712115,163.98653444619794,86185500,1
2022-02-15,169.29696655273438,169.45373566949445,166.80832036305304,167.5137664381475,62527400,0
2022-02-16,169.0618133544922,169.83583650795123,166.612352178537,168.37596721528965,61177400,0
2022-02-17,165.4660186767578,168.43476465088062,165.06430342539218,167.57254946752525,69589300,0
