Date,RSI,RSI_signal,MACD,MACD_signal_line,MACD_signal,ROC,ROC_signal,BB_upper,BB_lower,BB_signal,indicator_signal
2023-11-23,63.30857405247737,Neutral,6.501505467319475,1.2421492925258248,Bullish,2.415565256297085,Bullish,1194.868910303877,1115.6995101062791,Neutral,1
2023-11-24,62.80582981917021,Neutral,7.54499537628385,2.50271850927743,Bullish,3.0166104081843685,Bullish,1194.2199463461259,1124.6569701577803,Neutral,1
2023-11-28,62.904960572409486,Neutral,8.296358549870547,3.6614465173960538,Bullish,2.5043932382561818,Bullish,1195.7016170478087,1129.5580509209412,Neutral,1
2023-11-29,64.19964098957468,Neutral,9.039921820719655,4.737141578060775,Bullish,3.901663530072979,Bullish,1199.4218239709721,1130.2154440954341,Neutral,1
2023-11-30,56.379143429748794,Neutral,8.59893261936827,5.509499786322274,Bullish,2.702066665632544,Bullish,1199.479842657634,1134.6020299009597,Neutral,1
2023-12-01,60.166342340605446,Neutral,8.822581326439604,6.17211609434574,Bullish,3.4433622886198383,Bullish,1200.6956990169306,1138.1955851627567,Neutral,1
2023-12-04,65.17168569784054,Neutral,9.922711486913613,6.922235172859315,Bullish,2.7053351361873186,Bullish,1204.9402546350266,1138.9142863805982,Neutral,1
2023-12-05,68.09706680534396,Neutral,11.366417880863764,7.811071714460205,Bullish,3.263861576713166,Bullish,1210.3441889146795,1139.3694829603203,Neutral,1
2023-12-06,71.52414559229632,Overbought,13.292502040230602,8.907357779614284,Bullish,4.48091276108474,Bullish,1218.1236911509668,1137.650136974033,Overbought,0
2023-12-07,70.1172296066228,Overbought,14.48970843413008,10.023827910517443,Bullish,4.584245074295678,Bullish,1223.635326063022,1138.7520640736968,Neutral,1
2023-12-08,69.64364851166326,Neutral,15.211091744025907,11.061280677219138,Bullish,3.230496225129192,Bullish,1228.3753955201396,1139.9604809447042,Neutral,1
2023-12-11,70.24298209335163,Overbought,15.745464541287902,11.998117450032892,Bullish,2.979228641887632,Bullish,1231.2926279455592,1144.4285878747532,Neutral,1
2023-12-12,58.12465616904081,Neutral,14.587069322682282,12.51590782456277,Bullish,1.1918217875191264,Bullish,1230.577998663644,1150.5606365902622,Neutral,1
2023-12-13,60.198472109256286,Neutral,13.905216609716263,12.79376958159347,Bullish,1.6729966066234183,Bullish,1229.2750149218869,1157.7872653515506,Neutral,1
2023-12-14,65.7680028436893,Neutral,14.40825204640214,13.116666074555205,Bullish,2.9130474887231204,Bullish,1232.3723662681016,1160.0353485756484,Neutral,1
2023-12-15,70.41147249272127,Overbought,15.883383308055727,13.67000952125531,Bullish,3.9530290939851476,Bullish,1238.3209555834108,1160.7822182447142,Overbought,0
2023-12-18,73.53388189516986,Overbought,17.863757810737752,14.508759179151799,Bullish,6.037983387763644,Bullish,1245.9038138417204,1161.4110787364048,Overbought,0
2023-12-19,77.30169037197088,Overbought,20.68065653748522,15.743138650818484,Bullish,6.841242937853107,Bullish,1256.4355392491323,1161.240156551649,Overbought,0
2023-12-20,68.5359342526714,Neutral,21.42654638422482,16.879820197499754,Bullish,4.419059732492059,Bullish,1262.179527472136,1162.8542127622388,Neutral,1
2023-12-21,72.39215797942771,Overbought,23.16835674427898,18.1375275068556,Bullish,5.11948398568434,Bullish,1271.1390322836012,1162.5481625406176,Overbought,0
2023-12-22,72.647097255226,Overbought,24.367971150013318,19.383616235487146,Bullish,4.2237110835715175,Bullish,1278.9698886101494,1163.1325161750067,Neutral,1
2023-12-26,73.99212632565943,Overbought,25.54485334715173,20.615863657820064,Bullish,4.924597623095421,Bullish,1286.7696601144385,1164.4726006277492,Neutral,1
2023-12-27,74.89216270638734,Overbought,26.524221189600667,21.797535164176185,Bullish,5.338487809030681,Bullish,1294.042022216901,1166.7520451659116,Neutral,1
2023-12-28,76.73465419920191,Overbought,27.729646465711767,22.983957424483304,Bullish,5.94465496079949,Bullish,1302.0698707077504,1168.8914452102185,Neutral,1
2023-12-29,70.58933223327385,Overbought,27.54245146991093,23.89565623356883,Bullish,6.6376480182906565,Bullish,1305.1549750044421,1176.1051202104015,Neutral,1
2024-01-01,71.22779718016346,Overbought,27.29176428141409,24.574877843137884,Bullish,6.421679325382278,Bullish,1308.1583368608606,1182.8272832563268,Neutral,1
2024-01-02,73.71472579770636,Overbought,27.633602670677647,25.186622808645836,Bullish,5.987871248266918,Bullish,1313.1720829331884,1187.3182002699364,Neutral,1
2024-01-03,65.62656087542433,Neutral,26.462068365449113,25.441711920006494,Bullish,3.5141748539969493,Bullish,1315.388454292013,1192.3258645556432,Neutral,1
2024-01-04,67.43532653801334,Neutral,25.77119576824566,25.50760868965433,Bullish,3.000785354360668,Bullish,1318.6666265469228,1195.7753778476083,Neutral,1
2024-01-05,68.89440109410114,Neutral,25.373734716008357,25.480833894925137,Bearish,1.9389394956924795,Bullish,1321.8660673666443,1200.0530854653869,Neutral,0
2024-01-08,63.272072025205944,Neutral,23.967468440782795,25.17816080409667,Bearish,2.3821441136411083,Bullish,1322.7070863495937,1205.7437315215002,Neutral,0
2024-01-09,61.45394897379025,Neutral,22.321332306754584,24.606795104628254,Bearish,0.70046431122721,Bullish,1322.5380420689523,1211.9257640833914,Neutral,0
2024-01-10,70.67418487409074,Overbought,23.53293166441881,24.392022416586368,Bearish,3.315731241729393,Bullish,1323.5685978083454,1222.114666351811,Neutral,-1
2024-01-11,76.687988075674,Overbought,26.97364372321522,24.90834667791214,Bullish,5.49834909192901,Bullish,1332.0870497503686,1227.7837266168187,Overbought,0
2024-01-12,78.18446488021863,Overbought,30.219146168980615,25.970506576125835,Bullish,5.976379292804926,Bullish,1343.2586822196456,1230.375228913167,Overbought,0
2024-01-15,81.02072375740123,Overbought,34.27048905654328,27.63050307220933,Bullish,7.011954590566176,Bullish,1360.3718005642097,1227.7870861545405,Overbought,0
2024-01-16,72.55523236548794,Overbought,35.50994784049226,29.206392025865917,Bullish,6.356018197621065,Bullish,1369.6852264664817,1229.8023101546119,Neutral,1
2024-01-17,67.47417023936165,Neutral,35.042986388851205,30.373710898462978,Bullish,5.130769300156717,Bullish,1375.817667959313,1231.8617387789682,Neutral,1
2024-01-18,68.62989437672498,Neutral,34.782590819743746,31.255486882719133,Bullish,4.755517694441473,Bullish,1380.9017273743254,1237.1384947936433,Neutral,1
2024-01-19,68.4245302001823,Neutral,34.14260049005452,31.832909604186213,Bullish,5.868458914856215,Bullish,1386.0008728274954,1240.593524145161,Neutral,1
2024-01-23,54.715758113546514,Neutral,30.17374095800369,31.50107587494971,Bearish,2.3299315620253775,Bullish,1385.9240028327758,1245.241561132068,Neutral,0
2024-01-24,58.26017123054079,Neutral,27.931923530148424,30.787245405989452,Bearish,3.0697568082889357,Bullish,1387.0545614769187,1249.5557046363626,Neutral,0
2024-01-25,60.273672357589156,Neutral,26.585705841670233,29.94693749312561,Bearish,4.591554083470565,Bullish,1388.928688643733,1253.6027444617357,Neutral,0
2024-01-29,74.14164148251268,Overbought,32.74870566304298,30.507291127109085,Bullish,12.23019745100848,Bullish,1411.6071547497265,1245.3450547229297,Overbought,0
2024-01-30,63.91439853249976,Neutral,34.00296400779098,31.206425703245465,Bullish,6.231835946327533,Bullish,1419.7073975696223,1248.6752074108465,Neutral,1
2024-01-31,66.26947933894733,Neutral,36.10267635116588,32.18567583282955,Bullish,4.906599503565282,Bullish,1430.2378662992264,1251.1981078218673,Neutral,1
2024-02-01,66.2726092336879,Neutral,37.33831012509313,33.21620269128227,Bullish,4.079961035229152,Bullish,1439.5209036615242,1253.9063180181633,Neutral,1
2024-02-02,69.9849635588634,Neutral,40.33961847530236,34.640885848086285,Bullish,4.560217056667764,Bullish,1452.5212697383245,1257.3889597538632,Neutral,1
2024-02-05,65.3275229694286,Neutral,40.75255793995666,35.86322026646036,Bullish,4.684916426116457,Bullish,1459.5539424552433,1264.322925220538,Neutral,1
2024-02-06,62.629605258659296,Neutral,39.72281250260335,36.63513871368896,Bullish,4.863858827520375,Bullish,1463.3522104834212,1272.8286000634537,Neutral,1
2024-02-07,64.64006393244308,Neutral,39.59966420096134,37.228043811143436,Bullish,5.424179423193978,Bullish,1466.31451714418,1284.6046967230075,Neutral,1
2024-02-08,65.74307492812284,Neutral,39.683408507658896,37.71911675044653,Bullish,6.045928509627875,Bullish,1467.2339627851072,1299.555295027393,Neutral,1
2024-02-09,67.21059372344041,Neutral,40.13813372222057,38.20292014480134,Bullish,9.948626043077928,Bullish,1472.642437889238,1307.6171080091995,Neutral,1
2024-02-12,64.84548457949879,Neutral,39.371825197175895,38.43670115527625,Bullish,8.071803618914105,Bullish,1477.977237766529,1311.4593711201896,Neutral,1
2024-02-13,66.75762573958133,Neutral,39.33237464111903,38.61583585244481,Bullish,8.279287231281206,Bullish,1484.97726766608,1313.8274930761077,Neutral,1
2024-02-14,69.07030292148991,Neutral,40.14199313316249,38.92106730858835,Bullish,2.301365097978204,Bullish,1494.345188198282,1313.1204734228118,Neutral,1
